"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"xx138809881","xx1329985173014929411","2020-11-21 03:09:09","mschlapp","Even Nevada Dems are admitting historic levels of voter fraud, so much that they tossed out a Clark County election. The more we search, the more crimes we find. #Election2020 https://t.co/pH1E6Kkt2F","Twitter Web App",175,,,,FALSE,FALSE,27107,10382,,,"Election2020",,,,,"http://pbs.twimg.com/ext_tw_video_thumb/1329978272004837379/pu/img/yftRcyaRLfon3GZV.jpg","https://t.co/pH1E6Kkt2F","https://twitter.com/mschlapp/status/1329985173014929411/video/1","photo","http://pbs.twimg.com/ext_tw_video_thumb/1329978272004837379/pu/img/yftRcyaRLfon3GZV.jpg","https://t.co/pH1E6Kkt2F","https://twitter.com/mschlapp/status/1329985173014929411/video/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/mschlapp/status/1329985173014929411","Matt Schlapp","Alexandria VA","Dad to 5 angels, husband to @mercedesschlapp as seen on the screen, kansas, American Conservative Union Chair, @cpac, Go Irish, life is better on the farm","https://t.co/fHBgoYgN2A",FALSE,282591,1578,1406,57975,59519,"2010-04-30 17:20:18",TRUE,"https://t.co/fHBgoYgN2A","http://instagram.com/mschlapp",,"https://pbs.twimg.com/profile_banners/138809881/1428765108","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1327401576680615938/pHXRCNvG_normal.jpg"
"xx2301990517","xx1329453783018070016","2020-11-19 15:57:36","Barnes_Law","If this election has no fraud, why are the Democrats &amp; media demanding there be no audit, no signature match check, no monitored hand recount, no production of the digitized ballots, no check on whether more votes than voters took place in some areas, and on and on? #Election2020","Twitter Web App",284,,,,FALSE,FALSE,24016,7852,,,"Election2020",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Barnes_Law/status/1329453783018070016","Robert Barnes","Las Vegas, NV","Trial lawyer. High-profile wins for clients in civil, criminal & constitutional law. Political Gambler. From Bloomberg News: """"next time, bet with Barnes.""""","https://t.co/izgImUwscF",FALSE,171244,4807,1145,178630,26653,"2014-01-20 20:32:14",FALSE,"https://t.co/izgImUwscF","http://www.barneslawllp.com",,"https://pbs.twimg.com/profile_banners/2301990517/1515559033","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/956272286226513922/2B5p1woH_normal.jpg"
"xx426802833","xx1329590157473951745","2020-11-20 00:59:30","AP_Politics","BREAKING: Joe Biden wins Georgia. #APracecall at 8:00 p.m. EST. #Election2020 https://t.co/lGfinjTqT4","AP Race Calls Bot - AP Politics",101,,,,FALSE,FALSE,16282,2926,,,"APracecall Election2020",,"apnews.com/Election2020","https://t.co/lGfinjTqT4","https://apnews.com/Election2020",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/AP_Politics/status/1329590157473951745","AP Politics","Washington, D.C.","Highlights from AP's coverage of U.S. politics and government in words, photos and video. Managed by the Washington bureau. https://t.co/lTcEv1VGoB","https://t.co/oS489jIdWx",FALSE,565260,616,7408,81971,20,"2011-12-02 18:26:10",TRUE,"https://t.co/oS489jIdWx","http://apne.ws/APPolitics",,"https://pbs.twimg.com/profile_banners/426802833/1605555783","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1848262680/APLogo_Twitter_normal.jpg"
"xx304953821","xx1329866178408419328","2020-11-20 19:16:19","Knoxteaparty","@local_aperture PA has deleted the #Election2020  dataset. https://t.co/JYRy6VFTBF","Twitter Web App",42,"xx1329720449127780354","xx880272485760892934","local_aperture",FALSE,FALSE,1813,1322,,,"Election2020",,,,,"http://pbs.twimg.com/media/EnSiKnqWEAE7tDK.png","https://t.co/JYRy6VFTBF","https://twitter.com/Knoxteaparty/status/1329866178408419328/photo/1","photo","http://pbs.twimg.com/media/EnSiKnqWEAE7tDK.png","https://t.co/JYRy6VFTBF","https://twitter.com/Knoxteaparty/status/1329866178408419328/photo/1",,"xx880272485760892934","local_aperture","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Knoxteaparty/status/1329866178408419328","The Knox Tea Party","Knoxville, TN","Our Vision: a SMALLER GOVERNMENT, that LIVES WITHIN ITS MEANS, and ADHERES TO THE CONSTITUTION. #teaparty #politics #nationaldebt #obamacare #government #obama","http://t.co/RurQGiqcGW",FALSE,360,89,2,1327,22,"2011-05-25 11:46:24",FALSE,"http://t.co/RurQGiqcGW","http://knoxteaparty.org",,,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1371434925/u2vQLx_normal.jpeg"
"xx23951440","xx1329123203357270016","2020-11-18 18:04:00","BGOnTheScene","“America first!” chants from the crowd of hundreds of Trump supporters gathering in Atlanta #Georgia #Atlanta #Election2020 https://t.co/l0q6qfgmSw","Twitter for iPhone",123,,,,FALSE,FALSE,3616,1284,,,"Georgia Atlanta Election2020",,,,,"http://pbs.twimg.com/ext_tw_video_thumb/1329123145119358976/pu/img/I03vlf8U03PED3ll.jpg","https://t.co/l0q6qfgmSw","https://twitter.com/BGOnTheScene/status/1329123203357270016/video/1","photo","http://pbs.twimg.com/ext_tw_video_thumb/1329123145119358976/pu/img/I03vlf8U03PED3ll.jpg","https://t.co/l0q6qfgmSw","https://twitter.com/BGOnTheScene/status/1329123203357270016/video/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://api.twitter.com/1.1/geo/id/8173485c72e78ca5.json","Atlanta","Atlanta, GA","city","United States","US","NA NA","NA NA","-84.576827 -84.289385 -84.289385 -84.576827 33.6475029 33.6475029 33.8868859 33.8868859","https://twitter.com/BGOnTheScene/status/1329123203357270016","Brendan Gutenschwager","United States","Independent reporter on the scene capturing original videos at rallies, protests, breaking news & more in the US. Videos available for licensing, DM to inquire","https://t.co/f7QiPrWeSd",FALSE,87442,1183,667,20332,17803,"2009-03-12 14:05:32",FALSE,"https://t.co/f7QiPrWeSd","http://paypal.me/bgonthescene",,"https://pbs.twimg.com/profile_banners/23951440/1595171353","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1248347118026330123/Cb4VmSXD_normal.jpg"
