"urls_expanded_url","n"
"https://www.marketwatch.com/story/how-are-we-going-to-get-control-of-this-pandemic-were-not-says-trumps-chief-of-staff-11603641227?mod=home-page",79
"https://www.washingtonpost.com/politics/pence-coronavirus-outbreak/2020/10/25/923bb382-16d5-11eb-befb-8864259bd2d8_story.html",57
"https://www.sltrib.com/news/2020/10/25/with-coronavirus-cases/",52
"https://twitter.com/realDonaldTrump/status/1320711322284281862",43
"https://ncbi.nlm.nih.gov/pmc/articles/PMC7045880/pdf/ophrp-11-3.pdf https://nejm.org/doi/pdf/10.1056/NEJMoa2001017 https://wwwnc.cdc.gov/eid/article/26/6/20-0516_article https://pubmed.ncbi.nlm.nih.gov/32237278/ https://clinicalmicrobiologyandinfection.com/article/S1198-743X(20)30170-1/fulltext https://theconversation.com/i-study-viruses-how-our-team-isolated-the-new-coronavirus-to-fight-the-global-pandemic-133675",34
"https://twitter.com/realdonaldtrump/status/1320711322284281862",34
