"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"xx91882544","xx1325582197890412545","2020-11-08 23:33:18","DineshDSouza","If we can establish there was systematic cheating, the next question will be: who knew? Was this exclusively a Democratic Party operation? Did the media know in advance? Did digital moguls know? If so they would all be accessories to a massive criminal conspiracy #Election2020","Twitter for iPhone",277,,,"",FALSE,FALSE,47720,15093,,,"Election2020","","","","","","","","","","","",,,"","en",,"","","",,,,"","",,,,"","",,,,,,,,,,,,,,,,,"","","","","","","NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/DineshDSouza/status/1325582197890412545","Dinesh D'Souza","United States","""""Trump Card"""" is an exposé of the socialism, corruption, and gangsterization that now define the Democratic Party. Available on DVD and VOD now.","https://t.co/M0SH4T9Fwv",FALSE,1878727,5982,7153,59385,649,"2009-11-22 22:32:41",TRUE,"https://t.co/M0SH4T9Fwv","http://dineshdsouza.com/trumpcard",,"https://pbs.twimg.com/profile_banners/91882544/1602601494","http://abs.twimg.com/images/themes/theme16/bg.gif","http://pbs.twimg.com/profile_images/890967538292711424/8puyFbiI_normal.jpg"
"xx334715818","xx1325636430534746113","2020-11-09 03:08:48","BuckSexton","Ken Starr: 

""""What happened in #Pennsylvania over these recent weeks is a constitutional travesty,"""" 

#Election2020","TweetDeck",115,,,"",FALSE,FALSE,32425,7550,,,"Pennsylvania Election2020","","","","","","","","","","","",,,"","en",,"","","",,,,"","",,,,"","",,,,,,,,,,,,,,,,,"","","","","","","NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/BuckSexton/status/1325636430534746113","Buck Sexton","Manhattan, NY","Host of The Buck Sexton Show and """"Hold the Line"""" on The First tv. Former CIA Analyst #ShieldsHigh SUBSCRIBE to my daily podcast here ➡️https://t.co/LQKtt0b8R8","https://t.co/MmJ65aUJqi",FALSE,510690,1533,2805,3275,25352,"2011-07-13 15:14:49",TRUE,"https://t.co/MmJ65aUJqi","http://bucksexton.com",,"https://pbs.twimg.com/profile_banners/334715818/1577135950","http://abs.twimg.com/images/themes/theme6/bg.gif","http://pbs.twimg.com/profile_images/1230184669783695362/llV8hFuP_normal.jpg"
"xx138809881","xx1325623655288741890","2020-11-09 02:18:02","mschlapp","We are now aware of 698 verified cases, and thousands more reported, where people were unable to verify if their vote was counted. #Election2020","Twitter Web App",144,,,"",FALSE,FALSE,10237,3489,,,"Election2020","","","","","","","","","","","",,,"","en",,"","","",,,,"","",,,,"","",,,,,,,,,,,,,,,,,"","","","","","","NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/mschlapp/status/1325623655288741890","Matt Schlapp","Alexandria VA","Dad to 5 angels, husband to @mercedesschlapp as seen on the screen, kansas, American Conservative Union Chair, @cpac, Go Irish, life is better on the farm","https://t.co/fHBgoYgN2A",FALSE,251817,1582,1353,57504,59172,"2010-04-30 17:20:18",TRUE,"https://t.co/fHBgoYgN2A","http://instagram.com/mschlapp",,"https://pbs.twimg.com/profile_banners/138809881/1428765108","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1239177374509473793/G4lMupfp_normal.jpg"
"xx138809881","xx1325616556596924416","2020-11-09 01:49:50","mschlapp","Nevada elections officials have completely dropped the ball:
 
➡️ Deceased individuals have had ballots cast on their behalf
➡️ Underage people voted in Nevada
➡️ At least 9,000 non-Nevadans voted in Nevada

#Election2020 https://t.co/GSe0FfdMgG","Twitter Media Studio",221,,,"",FALSE,FALSE,6480,3062,,,"Election2020","","","","","http://pbs.twimg.com/amplify_video_thumb/1325614604974747649/img/gfwMiYE2oyNuJ6r2.jpg","https://t.co/GSe0FfdMgG","https://twitter.com/mschlapp/status/1325616556596924416/video/1","photo","http://pbs.twimg.com/amplify_video_thumb/1325614604974747649/img/gfwMiYE2oyNuJ6r2.jpg","https://t.co/GSe0FfdMgG","https://twitter.com/mschlapp/status/1325616556596924416/video/1",,,"","en",,"","","",,,,"","",,,,"","",,,,,,,,,,,,,,,,,"","","","","","","NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/mschlapp/status/1325616556596924416","Matt Schlapp","Alexandria VA","Dad to 5 angels, husband to @mercedesschlapp as seen on the screen, kansas, American Conservative Union Chair, @cpac, Go Irish, life is better on the farm","https://t.co/fHBgoYgN2A",FALSE,251817,1582,1353,57504,59172,"2010-04-30 17:20:18",TRUE,"https://t.co/fHBgoYgN2A","http://instagram.com/mschlapp",,"https://pbs.twimg.com/profile_banners/138809881/1428765108","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1239177374509473793/G4lMupfp_normal.jpg"
"xx990317363915579392","xx1325775240811700226","2020-11-09 12:20:23","TitaniaMcGrath","It is time for unity. 

It is time for healing.

So let’s make a list of everyone who voted the wrong way and deal with them as soon as possible. 

#Election2020","Twitter for iPhone",161,,,"",FALSE,FALSE,15144,2732,,,"Election2020","","","","","","","","","","","",,,"","en",,"","","",,,,"","",,,,"","",,,,,,,,,,,,,,,,,"","","","","","","NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/TitaniaMcGrath/status/1325775240811700226","Titania McGrath","","Activist. Healer. Radical intersectionalist poet. Selfless and brave. Buy my books.","https://t.co/0dirslsGEX",FALSE,580399,984,1770,2718,1,"2018-04-28 19:50:33",FALSE,"https://t.co/0dirslsGEX","https://www.amazon.co.uk/Woke-Social-Justice-Titania-McGrath/dp/1472130847",,"https://pbs.twimg.com/profile_banners/990317363915579392/1537044748","","http://pbs.twimg.com/profile_images/991329326846087169/vxothdvT_normal.jpg"
